id,name,store_revenue,store_size,temp,variety_score,quality_range,shop_area,city_tier,availability,discounts,weekday_sales,weekend_sales,total_sales,location
40,Store_39,72155.2,Small,High,0,7,842.62,3,Online,65,7380.58,7484.26,9124.64,Outskirts
41,Store_40,47979.7,Mid,Mid,2,1,267.86,1,Offline,45,5062.59,1555.91,9582.95,Downtown
42,Store_41,29289.4,Large,Mid,7,0,693.89,2,Online,70,8647.75,2433.08,8333.5,Outskirts
43,Store_42,32186.0,Large,Low,10,9,592.25,3,Offline,54,7837.76,2824.78,3789.39,Downtown
44,Store_43,81736.1,Mid,Mid,10,5,1392.58,3,Online,51,2381.09,6193.2,4856.79,Outskirts
45,Store_44,7083.07,Mid,Mid,7,5,1558.24,1,Offline,88,6114.92,4148.06,11129.1,Downtown
46,Store_45,9048.81,Small,Mid,8,3,253.09,3,Online,39,7105.99,3643.48,9366.29,Outskirts
47,Store_46,70783.7,Mid,High,8,3,1128.66,3,Offline,9,9546.12,4939.85,10345.8,Outskirts
48,Store_47,2551.19,Mid,High,2,10,1817.97,3,Offline,59,930.6,6443.9,17934.5,Outskirts
49,Store_48,18335.2,Large,Low,1,9,1958.41,1,Online,29,8825.43,5331.63,14096.2,Outskirts
50,Store_49,94883.7,Mid,Mid,6,6,460.54,1,Offline,16,993.78,9569.79,12096.1,Downtown
51,Store_50,50143.9,Mid,High,2,10,1722.66,2,Offline,39,9969.94,8153.19,10277.4,Outskirts
52,Store_51,57244.1,Mid,High,7,7,334.89,3,Online,33,7272.07,6192.85,15809.7,Downtown
53,Store_52,25357.3,Small,Mid,5,9,1363.7,3,Offline,36,9712.87,7662.42,11553.5,Outskirts
54,Store_53,69596.5,Small,Low,10,8,179.1,3,Offline,26,4185.88,2855.11,10942.2,Outskirts
55,Store_54,20661.1,Mid,Mid,7,5,891.49,3,Online,95,4404.45,3317.62,9595.63,Outskirts
56,Store_55,2381.37,Mid,Mid,10,2,990.41,2,Offline,16,3347.85,1675.24,13970.1,Outskirts
57,Store_56,58344.8,Large,High,7,10,1300.5,2,Online,95,9640.68,9917.87,4450.09,Downtown
58,Store_57,95126.8,Large,Low,8,2,1418.62,3,Online,61,3254.18,7650.96,8700.61,Outskirts
59,Store_58,16003.2,Large,Mid,1,10,967.96,2,Offline,25,4554.69,5092.36,5309.46,Outskirts
60,Store_59,1909.52,Mid,Low,3,2,302.8,1,Offline,54,5569.66,1399.3,16027.2,Outskirts
61,Store_60,22604.9,Small,Mid,2,6,1049.41,2,Offline,70,3200.68,4641.99,7621.51,Downtown
62,Store_61,38805.4,Small,High,9,1,654.05,1,Offline,24,7355.93,9236.54,7379.89,Outskirts
63,Store_62,58055.0,Mid,High,10,0,674.03,2,Online,72,2892.48,2751.62,11629.1,Downtown
64,Store_63,16564.1,Small,Low,2,2,726.77,1,Online,85,6562.65,7173.84,15465.9,Downtown
65,Store_64,20440.9,Mid,Low,5,0,1353.39,1,Online,10,3774.4,5379.3,7301.94,Outskirts
66,Store_65,33303.1,Small,Mid,7,1,626.55,1,Online,90,1824.43,2006.25,10729.1,Downtown
67,Store_66,11957.1,Small,High,4,10,1056.81,3,Offline,14,1916.35,4812.19,15534.8,Outskirts
68,Store_67,39259.5,Large,Mid,4,2,1549.01,1,Offline,46,5004.47,1074.63,7534.57,Downtown
69,Store_68,8500.25,Large,Mid,4,8,1672.98,3,Offline,27,7530.17,9327.57,6701.24,Outskirts
70,Store_69,32763.5,Large,Mid,9,7,1616.59,3,Online,39,5906.49,7479.21,15721.7,Outskirts
71,Store_70,70451.9,Small,Mid,2,2,924.94,2,Online,77,274.3,8005.14,12501.4,Downtown
72,Store_71,57267.7,Mid,Low,2,0,944.52,1,Online,6,4479.59,285.24,15468.8,Downtown
73,Store_72,57797.1,Small,Mid,2,7,1614.2,3,Offline,68,8350.88,1548.05,9581.44,Downtown
74,Store_73,30505.5,Mid,Mid,0,2,217.57,2,Offline,66,5630.38,8178.08,9861.38,Downtown
75,Store_74,52773.5,Large,Mid,6,3,1098.9,3,Offline,38,1740.34,6894.27,15519.3,Outskirts
76,Store_75,47622.0,Mid,High,3,10,1586.13,1,Offline,66,769.59,3627.98,14102.9,Outskirts
77,Store_76,48113.2,Small,Mid,4,5,881.33,2,Offline,20,5732.23,2512.77,13464.8,Downtown
78,Store_77,54402.2,Large,Mid,4,1,956.51,3,Online,66,4318.03,1517.79,12055.7,Outskirts
79,Store_78,15369.0,Small,High,2,6,446.67,2,Online,97,2197.09,1575.65,2294.86,Outskirts
80,Store_79,59691.5,Mid,Mid,10,0,564.42,1,Online,77,9812.06,6130.39,8003.34,Outskirts
81,Store_80,54907.2,Mid,Mid,8,6,1274.63,2,Offline,63,3314.5,7283.44,7591.84,Downtown
82,Store_81,23938.5,Mid,High,9,2,843.28,2,Offline,64,2095.15,1087.35,10745.8,Outskirts
83,Store_82,36084.7,Small,Low,2,5,1522.11,2,Online,18,5948.44,4108.78,3165.13,Outskirts
84,Store_83,25853.7,Mid,Low,3,8,1577.07,3,Online,37,6032.32,8817.3,9985.4,Outskirts
85,Store_84,36654.1,Mid,Mid,6,4,213.9,1,Online,17,2611.81,7390.83,13240.0,Outskirts
86,Store_85,89855.4,Mid,Mid,2,4,897.39,3,Online,36,4855.32,3253.16,9639.66,Downtown
87,Store_86,37777.0,Small,Mid,6,2,496.71,2,Offline,36,5237.8,5071.15,12240.6,Outskirts
88,Store_87,47271.5,Mid,Mid,3,5,1462.58,1,Online,64,6959.65,5489.49,12342.5,Downtown
89,Store_88,19007.2,Mid,Low,3,10,1414.87,3,Offline,6,3300.86,4325.02,7160.05,Outskirts
90,Store_89,40879.8,Large,Mid,6,2,524.85,2,Online,25,6401.68,4437.02,3869.25,Downtown
91,Store_90,76615.6,Large,Mid,10,1,1550.51,2,Online,14,6896.25,9942.19,14906.8,Outskirts
92,Store_91,96271.6,Mid,Mid,6,5,1231.43,2,Offline,47,9449.35,3036.28,10191.3,Downtown
93,Store_92,16743.6,Small,Mid,5,0,1667.73,3,Online,60,8092.23,2391.18,17201.8,Downtown
94,Store_93,58086.9,Mid,Low,0,4,1419.71,2,Offline,68,4286.22,938.94,6899.43,Outskirts
95,Store_94,15539.8,Small,Low,6,5,1755.93,3,Offline,38,1760.4,6950.26,16669.8,Downtown
96,Store_95,21413.2,Small,High,7,4,1755.53,1,Offline,94,1045.76,6793.13,5490.89,Downtown
97,Store_96,29494.7,Mid,High,3,8,1579.35,2,Offline,77,9902.98,6505.27,6588.7,Outskirts
98,Store_97,42069.5,Mid,Low,9,3,1463.87,3,Offline,68,9550.97,7365.5,16351.1,Downtown
99,Store_98,9638.32,Small,Low,2,5,1461.53,1,Offline,85,2112.53,4946.96,15642.4,Outskirts
100,Store_99,31365.8,Small,High,6,0,937.62,1,Offline,87,2367.33,5498.12,6137.28,Downtown
101,Store_100,74416.9,Mid,Low,2,2,703.13,1,Offline,59,1760.01,876.4,11082.6,Outskirts
102,Store_101,29449.3,Small,High,2,1,1918.07,2,Online,7,5486.65,5096.12,18335.5,Outskirts
103,Store_102,34177.8,Large,Mid,1,2,168.28,2,Online,92,7349.74,9228.44,7272.73,Outskirts
104,Store_103,42586.5,Small,Low,4,4,1314.77,1,Online,53,6449.0,6119.24,8837.49,Outskirts
105,Store_104,90043.8,Small,Low,9,2,1656.89,2,Online,32,7743.42,9064.81,5668.31,Outskirts
106,Store_105,33325.4,Mid,Mid,0,0,817.75,3,Online,0,7382.71,6559.04,3905.19,Outskirts
107,Store_106,19733.5,Large,Mid,3,6,1778.87,2,Offline,35,7614.27,7355.51,11342.0,Downtown
108,Store_107,43377.8,Mid,Mid,10,3,1793.12,2,Online,6,9217.37,4087.14,3140.01,Outskirts
109,Store_108,25881.6,Mid,Mid,10,9,1014.68,3,Online,81,7175.38,1479.22,9082.0,Outskirts
110,Store_109,30161.6,Small,Mid,8,8,1606.77,2,Online,40,7566.35,5705.74,7260.6,Outskirts
111,Store_110,65365.8,Small,Low,7,1,1455.72,1,Offline,26,296.19,3196.49,10973.8,Outskirts
112,Store_111,28500.0,Small,Low,6,10,1819.14,3,Offline,96,3166.79,6999.89,12495.0,Downtown
113,Store_112,77227.8,Mid,Mid,4,2,1950.34,1,Offline,45,6190.8,7258.53,14545.9,Outskirts
114,Store_113,40601.1,Mid,Low,6,5,1367.77,3,Online,16,4315.1,6394.39,15076.6,Outskirts
115,Store_114,70003.4,Large,Mid,6,4,124.49,1,Online,59,4941.16,6864.23,16493.4,Downtown
116,Store_115,9403.77,Mid,Low,8,4,1179.77,3,Online,0,8598.52,2827.36,9965.36,Downtown
117,Store_116,3119.33,Large,Low,0,10,1600.15,1,Offline,12,528.48,8573.45,3470.57,Outskirts
118,Store_117,73251.2,Small,Low,3,10,1906.42,3,Offline,68,3845.26,8709.42,6839.68,Downtown
119,Store_118,86540.6,Mid,High,5,10,1930.95,1,Online,13,2495.88,8212.77,7818.88,Downtown
120,Store_119,19959.4,Small,Low,3,3,1352.1,2,Online,95,6499.78,3883.66,16862.9,Downtown
121,Store_120,8810.04,Mid,Low,1,3,197.69,2,Offline,97,2620.67,3851.79,6626.19,Outskirts
122,Store_121,43898.8,Mid,Low,10,3,1203.33,1,Offline,85,6896.04,9047.31,10548.8,Downtown
123,Store_122,99801.5,Large,Mid,2,9,944.75,3,Offline,83,1820.48,4050.82,6603.52,Outskirts
124,Store_123,69489.7,Small,Mid,10,2,219.02,3,Offline,16,168.34,5498.37,16026.0,Outskirts
125,Store_124,6590.71,Small,Low,5,2,1256.32,2,Offline,48,6420.7,7500.99,16954.0,Downtown
126,Store_125,80031.8,Mid,Mid,3,10,1469.96,3,Offline,13,6051.76,6029.87,3674.99,Outskirts
127,Store_126,64680.5,Large,Low,1,7,230.95,2,Offline,51,3045.9,9706.96,18461.7,Downtown
128,Store_127,9650.13,Large,Low,4,6,1506.17,1,Offline,34,706.4,2868.36,4630.46,Downtown
129,Store_128,91343.9,Mid,Low,3,1,1346.29,3,Online,34,5255.43,5846.28,13051.9,Downtown
130,Store_129,98320.9,Mid,Mid,4,7,428.73,3,Offline,1,9076.91,5011.7,10831.6,Outskirts
131,Store_130,49666.3,Mid,Mid,8,4,1637.44,3,Offline,66,7568.54,7979.25,9205.93,Downtown
132,Store_131,51778.3,Small,Low,7,5,492.69,3,Online,5,830.73,2267.59,15871.7,Downtown
133,Store_132,51854.6,Mid,Mid,8,3,1106.26,2,Offline,96,624.61,4038.94,17908.3,Outskirts
134,Store_133,63106.0,Small,Low,8,10,908.08,2,Online,25,8779.26,6240.49,9766.56,Outskirts
135,Store_134,82714.4,Mid,Low,9,4,1055.36,1,Offline,88,5154.44,9276.08,8474.21,Outskirts
136,Store_135,59009.3,Mid,Low,9,2,770.07,1,Offline,78,2746.15,142.71,3222.43,Downtown
137,Store_136,59151.1,Mid,Low,1,4,1686.83,3,Offline,57,3296.95,9175.14,9483.7,Downtown
138,Store_137,89019.2,Small,Mid,7,10,1065.12,3,Offline,29,8116.74,1770.53,9902.88,Downtown
139,Store_138,23742.6,Mid,Low,1,0,1906.76,2,Offline,6,4607.13,1045.87,4010.21,Outskirts
140,Store_139,33296.4,Large,Low,1,6,642.51,3,Online,24,1491.92,9676.18,6002.42,Downtown
141,Store_140,55623.5,Large,High,7,7,507.72,1,Online,46,314.14,7273.18,11821.5,Outskirts
142,Store_141,19026.6,Large,High,3,3,1196.83,1,Online,36,9945.22,8759.84,7301.65,Outskirts
143,Store_142,34857.9,Small,High,4,8,1233.16,2,Online,32,2302.73,1648.05,2348.22,Outskirts
144,Store_143,54745.9,Small,Mid,5,7,1671.82,1,Offline,26,5990.53,2078.77,6997.33,Downtown
145,Store_144,18171.6,Mid,Low,3,2,747.17,1,Online,22,9459.84,592.35,13316.5,Outskirts
146,Store_145,89192.4,Large,Low,5,2,1224.16,1,Offline,58,7897.66,2223.1,16165.8,Outskirts
147,Store_146,24136.5,Small,Low,5,8,661.7,1,Online,72,4199.17,9055.9,9824.35,Downtown
148,Store_147,99013.3,Small,Mid,3,7,1018.94,2,Offline,13,6221.59,6837.62,12526.9,Downtown
149,Store_148,13305.8,Small,Low,1,5,218.41,3,Online,60,2023.31,1919.78,4814.46,Downtown
150,Store_149,81462.8,Small,Low,10,9,1230.91,2,Online,5,1923.87,7529.88,9577.09,Outskirts
151,Store_150,45178.4,Large,Low,2,4,849.9,3,Online,56,7875.43,2496.93,14059.3,Outskirts
152,Store_151,19455.9,Mid,Mid,1,6,1452.81,3,Offline,59,2621.88,5093.37,10427.0,Outskirts
153,Store_152,69506.8,Small,High,5,8,862.42,3,Online,100,6579.48,2907.5,8871.96,Downtown
154,Store_153,46171.5,Small,Mid,5,10,520.9,1,Offline,5,8955.19,3150.79,12277.9,Outskirts
155,Store_154,12437.1,Large,Low,7,0,511.41,1,Offline,45,6879.67,925.71,9360.07,Downtown
156,Store_155,94088.4,Large,High,5,3,1716.52,2,Offline,78,459.86,8503.79,2824.86,Outskirts
157,Store_156,82901.8,Mid,Mid,4,1,485.14,3,Online,79,5800.77,5252.32,16898.9,Outskirts
158,Store_157,74808.7,Large,Low,6,8,123.6,3,Offline,29,5654.33,9417.42,3292.3,Outskirts
159,Store_158,4393.2,Small,Low,1,5,482.33,2,Online,56,6741.03,6915.72,5285.95,Outskirts
160,Store_159,40366.3,Large,Low,6,5,1373.73,3,Online,77,327.74,8168.31,6045.03,Downtown
161,Store_160,77325.7,Small,Mid,4,6,1310.69,2,Online,73,3527.98,5545.35,16220.7,Outskirts
162,Store_161,28724.8,Small,Low,2,5,1862.98,1,Offline,8,7119.93,3091.58,4113.97,Downtown
163,Store_162,50768.7,Mid,High,2,1,1996.27,2,Online,7,7961.29,7387.42,5957.01,Downtown
164,Store_163,75853.5,Small,Mid,7,3,560.23,2,Offline,23,5824.61,2112.01,10881.4,Outskirts
165,Store_164,33003.7,Small,Mid,4,3,618.51,2,Offline,23,8615.23,6162.52,10613.9,Outskirts
166,Store_165,33302.9,Mid,Low,3,2,840.3,1,Offline,65,6757.32,4185.8,10484.7,Downtown
167,Store_166,15541.6,Small,Mid,10,2,799.59,1,Offline,13,4763.9,9535.57,12610.3,Outskirts
168,Store_167,55387.8,Mid,Mid,9,5,240.5,3,Online,49,7097.02,845.7,3287.54,Downtown
169,Store_168,38405.6,Large,Low,5,6,659.47,3,Online,73,2330.28,9356.31,11975.5,Downtown
170,Store_169,21028.0,Small,Low,2,7,1325.79,1,Offline,82,4685.2,8586.36,18098.1,Downtown
171,Store_170,60396.5,Mid,Mid,4,10,1075.59,3,Online,52,4688.58,7599.73,11198.5,Outskirts
172,Store_171,74476.1,Large,Mid,1,9,1823.12,1,Online,14,3696.59,3948.87,9680.77,Downtown
173,Store_172,47582.3,Mid,High,8,0,1970.63,3,Offline,48,5027.42,598.87,14075.9,Downtown
174,Store_173,76231.9,Mid,Low,6,10,1916.16,3,Online,30,3553.57,8453.56,5181.8,Outskirts
175,Store_174,69376.4,Small,Low,6,6,1942.02,1,Online,69,2812.57,3171.41,14501.7,Outskirts
176,Store_175,80228.9,Large,Mid,9,1,285.24,1,Offline,65,3102.24,5650.3,16817.7,Outskirts
177,Store_176,87331.4,Mid,High,6,7,1701.84,1,Online,98,6685.13,4105.56,9617.79,Downtown
178,Store_177,91121.4,Large,Low,5,0,75.79,3,Online,84,9914.44,4622.1,5036.76,Downtown
179,Store_178,29232.2,Large,High,8,2,1715.37,2,Offline,30,5805.05,9741.22,9321.88,Outskirts
180,Store_179,8172.91,Mid,Low,10,9,583.3,3,Online,80,5841.5,5002.77,9427.8,Downtown
181,Store_180,27056.4,Small,Low,1,1,607.84,3,Offline,45,6707.07,9977.81,19273.5,Downtown
182,Store_181,88074.7,Small,Low,7,9,345.78,1,Online,34,6089.43,116.25,11629.1,Outskirts
183,Store_182,25597.4,Mid,Mid,5,0,1715.53,1,Online,95,5502.75,8855.9,10659.8,Outskirts
184,Store_183,20793.3,Mid,High,3,6,555.23,2,Online,41,562.73,113.55,12036.8,Outskirts
185,Store_184,24658.4,Small,High,9,1,184.82,3,Offline,11,7891.99,5863.99,5671.98,Outskirts
186,Store_185,81559.9,Mid,Low,10,0,359.71,3,Online,92,2064.61,2632.28,13408.5,Outskirts
187,Store_186,6866.11,Mid,Low,6,1,182.51,3,Offline,79,4074.62,6529.75,3260.21,Outskirts
188,Store_187,22029.4,Mid,Mid,8,0,1783.14,2,Online,29,2594.54,3962.59,10088.3,Outskirts
189,Store_188,76564.1,Mid,Mid,6,4,422.37,3,Online,88,6955.81,8308.39,9321.9,Outskirts
190,Store_189,75248.7,Mid,Low,0,10,1025.12,2,Offline,70,3335.07,5325.73,13763.3,Downtown
191,Store_190,76262.4,Small,Low,0,0,1858.87,2,Online,1,9107.97,5207.3,15553.7,Downtown
192,Store_191,68146.5,Mid,Low,9,3,1999.58,1,Online,44,2257.42,7722.68,8779.0,Downtown
193,Store_192,81145.0,Mid,Mid,1,7,353.35,2,Offline,16,3320.66,1502.12,9785.4,Downtown
194,Store_193,21795.7,Small,Mid,6,8,402.92,2,Online,52,8709.32,8021.91,9623.75,Downtown
195,Store_194,44041.0,Small,Low,2,3,1898.27,3,Online,83,3858.81,4113.55,11207.2,Outskirts
196,Store_195,60801.6,Mid,Mid,7,6,1156.31,1,Online,86,3987.46,4127.62,9271.48,Downtown
197,Store_196,48707.7,Small,Mid,3,4,1753.04,1,Offline,9,7938.38,6778.47,19628.0,Downtown
198,Store_197,26578.7,Mid,High,7,6,1441.51,3,Online,66,4979.21,5078.59,7196.06,Outskirts
199,Store_198,22671.1,Mid,Mid,1,5,641.63,3,Offline,86,925.5,8596.13,6836.4,Outskirts
200,Store_199,24480.4,Small,High,9,6,730.44,1,Online,37,6002.69,8602.96,14631.6,Outskirts
201,Store_200,36449.6,Small,Low,10,2,595.51,2,Online,2,9385.1,6241.82,8797.45,Outskirts
202,Store_201,44525.2,Small,Low,4,6,1171.1,1,Online,43,8968.84,1853.93,6717.16,Downtown
203,Store_202,15406.1,Mid,Low,6,10,147.32,2,Offline,23,5127.85,8298.65,12262.2,Outskirts
204,Store_203,97098.0,Mid,High,3,1,1527.65,1,Online,25,5565.83,249.15,4842.06,Downtown
205,Store_204,81400.0,Small,Mid,3,7,1177.4,3,Offline,53,8164.9,4826.53,12348.1,Downtown
206,Store_205,10545.8,Mid,Low,4,2,296.53,3,Offline,45,9029.61,1524.52,6629.02,Outskirts
207,Store_206,78893.4,Mid,Mid,3,1,962.83,1,Offline,57,6399.1,4926.82,7240.33,Outskirts
208,Store_207,8257.73,Large,Mid,5,6,1242.34,1,Offline,27,5387.76,8429.13,11106.8,Downtown
209,Store_208,88021.7,Mid,Low,3,8,1358.78,1,Offline,56,459.77,5154.05,11383.6,Outskirts
210,Store_209,44735.8,Mid,Mid,8,4,1376.87,1,Offline,64,6916.68,5362.88,9697.56,Outskirts
211,Store_210,19646.1,Mid,Low,5,5,1651.0,2,Offline,69,2921.03,3647.56,15505.7,Outskirts
212,Store_211,35602.6,Small,Low,7,9,636.4,3,Offline,79,7978.57,6262.0,14859.8,Downtown
213,Store_212,76667.4,Small,Mid,8,10,1394.61,2,Online,53,4410.46,5959.32,11513.3,Outskirts
214,Store_213,97797.5,Mid,Mid,4,6,1953.52,1,Online,51,2202.55,5497.46,9085.47,Downtown
215,Store_214,46335.7,Mid,Low,10,9,1042.39,3,Online,34,3205.93,5424.49,8854.5,Outskirts
216,Store_215,56265.8,Mid,High,1,1,1999.72,3,Online,36,3199.63,5004.87,7538.31,Outskirts
217,Store_216,40997.6,Large,Mid,9,9,1650.57,2,Online,60,9611.17,9942.8,5654.5,Outskirts
218,Store_217,83211.2,Small,Mid,3,4,313.15,2,Offline,94,1012.54,6641.19,1986.39,Downtown
219,Store_218,96724.8,Large,Mid,8,6,1401.2,2,Offline,82,3297.45,1660.0,14466.0,Downtown
220,Store_219,40685.8,Small,Low,10,8,1600.9,3,Online,14,2345.15,7116.69,10638.0,Outskirts
221,Store_220,25597.5,Small,Low,6,8,770.72,2,Offline,50,6602.71,7885.52,14160.2,Outskirts
222,Store_221,45049.5,Small,Mid,10,7,1334.4,1,Online,59,1632.42,9995.53,12095.7,Downtown
223,Store_222,70305.2,Small,Low,6,1,1929.87,2,Offline,37,1985.05,8415.0,12574.2,Outskirts
224,Store_223,25964.5,Mid,Low,5,7,51.92,3,Offline,40,4379.25,9448.67,7287.51,Outskirts
225,Store_224,4185.64,Large,Low,6,4,1003.76,1,Online,31,4623.26,3669.42,5255.71,Outskirts
226,Store_225,25644.8,Mid,Low,1,1,521.39,3,Offline,60,1276.03,7916.29,11871.4,Outskirts
227,Store_226,6952.47,Large,High,9,0,1914.18,2,Offline,34,3588.88,7363.61,14717.6,Outskirts
228,Store_227,64846.8,Mid,Low,8,6,1513.54,3,Online,63,3301.99,7445.9,12203.4,Outskirts
229,Store_228,31050.3,Small,Mid,0,1,1207.75,2,Online,13,1183.04,1626.96,12033.3,Outskirts
230,Store_229,90625.7,Small,Mid,0,8,1335.94,1,Online,23,3458.51,9930.66,17074.5,Downtown
231,Store_230,45626.9,Large,Mid,5,8,712.8,2,Online,23,1931.66,2302.97,6910.32,Downtown
232,Store_231,28917.7,Mid,High,10,9,431.39,2,Offline,73,1443.1,4960.93,8269.2,Downtown
233,Store_232,16351.1,Mid,Low,4,8,1028.23,1,Offline,20,6171.05,4704.02,5329.43,Downtown
234,Store_233,43917.7,Small,Mid,0,4,1988.83,3,Offline,11,6128.06,6926.01,6697.04,Outskirts
235,Store_234,47387.2,Mid,High,1,2,1120.5,1,Offline,53,7200.88,9884.59,17768.3,Downtown
236,Store_235,81495.6,Mid,High,0,6,1440.14,3,Online,54,3088.38,9032.39,9383.77,Downtown
237,Store_236,99604.6,Mid,Low,6,8,345.49,2,Offline,33,7996.33,9890.37,13506.0,Outskirts
238,Store_237,16059.1,Large,Low,0,6,1054.22,3,Online,91,878.23,6919.26,11911.9,Outskirts
239,Store_238,32823.4,Mid,Low,5,0,1580.85,3,Offline,28,1847.27,370.52,15653.3,Downtown
240,Store_239,87724.0,Mid,Mid,2,3,1710.96,2,Online,27,5262.43,8049.45,13011.5,Downtown
241,Store_240,80339.5,Mid,High,4,3,778.95,3,Offline,16,3462.32,2145.53,4807.44,Outskirts
242,Store_241,71589.6,Mid,High,2,4,1186.31,2,Online,15,5405.23,2285.85,13223.8,Downtown
243,Store_242,58217.0,Small,High,3,2,490.17,2,Online,50,1755.13,3340.4,8398.53,Outskirts
244,Store_243,23125.8,Mid,Low,1,0,1407.37,2,Offline,36,963.88,3466.67,6250.43,Downtown
245,Store_244,22650.4,Mid,Mid,4,4,162.26,3,Offline,3,7596.91,6879.7,8707.36,Outskirts
246,Store_245,27755.5,Small,Mid,2,6,804.7,1,Online,23,2582.86,5646.67,6268.58,Downtown
247,Store_246,67725.5,Large,High,2,6,887.45,1,Online,80,9050.51,1453.4,14232.6,Outskirts
248,Store_247,25451.7,Small,Mid,7,6,296.18,3,Offline,66,4572.94,2972.58,7146.81,Downtown
249,Store_248,90985.4,Small,Mid,2,9,1433.73,3,Online,98,5545.37,8383.42,7035.58,Outskirts
250,Store_249,45868.1,Mid,High,9,1,233.9,1,Online,21,1479.44,553.3,17309.3,Outskirts
251,Store_250,2617.54,Mid,High,2,5,1743.48,3,Online,30,5121.49,6364.0,9641.18,Downtown
252,Store_251,23514.3,Small,High,8,2,1349.08,3,Offline,7,7285.53,4153.28,9999.02,Downtown
